ID,WESBROOK,TOTLGIVE,INDUPDT,GRADYR1,FACULTY1,DEPT1,MAJOR1,PARENT,CHILD,SPOUSE,SEX,MARITAL,EA,FACSTAFF,ATHLTCS,BIGBLOCK,OTHERACT,FRSTYEAR,MOV_DWEL,HH_1PER,HH_2PER,HH_3PER,HH_45PER,AVE_INC,DWEL_VAL,PROV,CNDN_PCT,ENG_PCT,OWN_PCT,SD_INC
1699,Y,5249,10/31/1996,1973,AP,AP,ELEC,N,N,Y,M,M,59002560,N,N,N,N,1973,0,0.1449275362,0.3333333333,0.1449275362,0.347826087,95106,475410,BC,0.8725490196,0.8137254902,0.8857142857,143567.39393
1741,N,77,10/31/1996,1971,AP,AC,NA,N,N,Y,M,M,59023052,N,Y,N,N,1965,0,0,0.2077922078,0.1688311688,0.5714285714,66837,350204,BC,0.8327645051,0.6040955631,0.9102564103,86057.047939
1749,Y,3400,01/04/1991,1971,GR,GR,BIOC,N,N,N,F,NA,59030061,Y,N,N,N,1964,0,0.1095890411,0.2739726027,0.2054794521,0.3561643836,108911,695929,BC,0.8739130435,0.8826086957,0.875,171616.80862
1802,Y,5630,03/14/1997,1963,CO,CO,NA,N,N,Y,M,M,59002604,N,N,N,Y,1963,0,0.1147540984,0.393442623,0.1475409836,0.3114754098,92752,540770,BC,0.8850574713,0.9712643678,0.9666666667,126249.05744
1835,Y,4085,11/04/1988,1973,GR,AP,CIVL,N,N,N,M,NA,59001205,Y,N,N,N,1969,0,0.1780821918,0.301369863,0.1643835616,0.2876712329,61748,391242,BC,0.8772727273,0.7181818182,0.9054054054,96215.391076
1840,Y,9180,02/07/1995,1958,LA,LA,NA,N,N,Y,M,M,59030156,N,N,N,N,1955,0,0.2285714286,0.2571428571,0.1857142857,0.2571428571,86301,666463,BC,0.9346733668,0.8341708543,0.8115942029,174504.37996
1869,Y,3800,10/31/1996,1961,GR,AP,PHYS,N,N,Y,M,NA,59030065,Y,Y,N,Y,1959,0,0.1052631579,0.3026315789,0.1447368421,0.3684210526,113815,643778,BC,0.8102766798,0.6944444444,0.7894736842,565312.64145
2139,Y,17883,05/03/1995,1964,LA,LA,NA,Y,N,Y,M,M,59028768,N,N,N,Y,1964,0,0.3913043478,0.4782608696,0.1014492754,0.0289855072,71647,323594,BC,0.7338709677,0.7903225806,0.4202898551,162115.40482
2153,N,50,09/13/1996,1980,PH,PH,NA,N,N,N,M,NA,59005170,N,N,N,N,1977,0,0.08,0.2533333333,0.1466666667,0.36,61843,239305,BC,0.8966789668,0.815498155,0.7567567568,70978.567188
2407,Y,6450,06/28/1988,1976,LA,LA,NA,N,N,Y,M,M,59031161,N,N,N,N,1973,0,0.1780821918,0.2876712329,0.1232876712,0.3561643836,105489,832062,BC,0.8878923767,0.7713004484,0.88,203741.18798
2440,Y,19120,04/18/1997,1968,LA,LA,NA,N,N,N,M,NA,59028317,N,N,N,Y,1967,0,0.35,0.35,0.15,0.15,62769,337517,BC,0.875,0.7727272727,0.243902439,116074.57536
2470,Y,6536,04/03/1997,1956,CO,CO,NA,Y,N,Y,M,M,59030053,N,Y,N,N,1956,0,0.0303030303,0.196969697,0.1818181818,0.5,181812,1074646,BC,0.8458498024,0.7283464567,0.9117647059,408204.65762
2495,N,25,10/31/1996,1963,AG,FN,DIET,N,N,N,F,M,59031018,N,N,N,N,1963,0,0.2207792208,0.2857142857,0.2337662338,0.2077922078,36975,388046,BC,0.95,0.65,0.1578947368,56219.509781
2505,Y,5000,10/30/1996,1969,ME,ME,NA,N,N,N,M,NA,59031315,Y,Y,N,N,1969,0,0.1232876712,0.3698630137,0.1232876712,0.301369863,117018,711015,BC,0.8634361233,0.7400881057,0.8904109589,185012.21679
2520,Y,22910,10/31/1996,1967,GR,SC,SOIL,Y,N,Y,M,M,59016305,N,N,N,N,1959,0,0.1153846154,0.3205128205,0.1923076923,0.3205128205,103323,433169,BC,0.974789916,0.8865546218,0.9230769231,136441.8176
2598,N,75,12/17/1993,1955,AR,AR,PHIL,N,N,N,M,NA,35007262,N,N,N,N,1955,0,0.1125,0.3125,0.175,0.3625,45603,131604,ON,0.9545454545,0.9297520661,0.6625,56220
2611,Y,6012,09/09/1996,1969,AG,AG,NA,N,N,Y,M,NA,59028161,Y,N,N,N,1969,0,0.1756756757,0.3378378378,0.1891891892,0.2702702703,121662,790594,BC,0.9323671498,0.9323671498,0.6891891892,230555.31336
2652,N,150,10/31/1996,1981,AP,AP,ELEC,N,N,Y,M,NA,59005109,N,N,N,N,1981,0,0.0579710145,0.2898550725,0.1449275362,0.4637681159,77404,314946,BC,0.9205020921,0.8786610879,0.9275362319,81530.714458
2678,N,250,02/27/1996,1961,AG,FN,NA,N,N,Y,F,M,59005211,N,N,N,N,1961,0,0.0945945946,0.2972972973,0.2027027027,0.3648648649,60437,245005,BC,0.9608695652,0.9217391304,0.8356164384,66962.930977
2718,Y,6650,09/16/1994,1965,AP,AP,FORE,N,N,N,M,NA,59028160,Y,N,N,Y,1965,0,0.0869565217,0.3188405797,0.1449275362,0.3913043478,152304,1148184,BC,0.8596491228,0.850877193,0.8571428571,317544.10642
2838,Y,8318,06/27/1996,1957,ME,ME,NA,Y,N,Y,M,M,59028166,N,N,N,N,1957,0,0.2985074627,0.4626865672,0.1940298507,0.0447761194,92884,822256,BC,0.9323308271,0.984962406,0.5820895522,192108.34277
2989,Y,2400,10/31/1996,1989,GR,AR,HIST,N,N,N,F,NA,59028553,N,N,N,N,1982,0,0.34375,0.46875,0.140625,0.046875,39728,189166,BC,0.8617886179,0.8211382114,0.4153846154,68108.863594
3068,Y,1730,02/17/1997,1956,LA,LA,NA,Y,N,Y,M,M,59017614,N,N,N,N,1955,0,0.1917808219,0.4520547945,0.1232876712,0.2328767123,52324,190184,BC,0.9835164835,0.9340659341,0.7671232877,77279.616491
3116,Y,9351,09/23/1993,1971,ME,ME,NA,N,N,Y,M,M,59030068,N,N,N,N,1971,0,0.1351351351,0.2297297297,0.2162162162,0.3243243243,93854,603622,BC,0.8257261411,0.7800829876,0.7466666667,149766.7003
3117,N,45,07/02/1997,1968,AP,NU,NA,N,N,N,F,NA,59013479,N,N,N,N,1968,0,0.119047619,0.3333333333,0.1904761905,0.3571428571,68996,214544,BC,0.9173553719,0.8595041322,0.880952381,72425.448014
3120,Y,2360,10/31/1996,1956,ME,ME,NA,N,N,Y,M,M,59030204,N,N,N,N,1956,0,0.0491803279,0.1967213115,0.262295082,0.4098360656,121716,833921,BC,0.7289719626,0.5492957746,0.8032786885,393486.99865
3133,Y,4580,01/14/1998,1956,LA,LA,NA,N,N,N,M,M,35071220,N,N,N,Y,1955,0,0.2153846154,0.3230769231,0.1076923077,0.3538461538,234443,938792,ON,0.9340659341,0.956043956,0.6666666667,717135.31817
3135,Y,2575,02/07/1995,1958,LA,LA,NA,Y,N,Y,M,M,35069662,N,N,N,Y,1957,0,0.0757575758,0.3333333333,0.2121212121,0.3181818182,304454,963744,ON,0.8925233645,0.9627906977,0.8358208955,721467.85967
3175,Y,7177,10/25/1995,1964,LA,LA,NA,N,N,N,M,NA,59028109,N,N,N,Y,1963,0,0.5882352941,0.3235294118,0.0588235294,0.0294117647,62644,462527,BC,0.9230769231,0.9615384615,0.1764705882,116203.13834
3253,N,200,01/29/1997,1979,AG,FN,NA,N,N,N,F,NA,59012569,N,N,N,N,1979,0,0.1232876712,0.2739726027,0.1506849315,0.397260274,60766,267597,BC,0.9110169492,0.9237288136,0.9459459459,58417.861395
3256,Y,5677,02/21/1995,1978,LA,LA,NA,N,N,N,M,NA,59030053,N,N,N,N,1970,0,0.0303030303,0.196969697,0.1818181818,0.5,181812,1074646,BC,0.8458498024,0.7283464567,0.9117647059,408204.65762
3369,Y,1000,08/09/1999,1956,AP,AP,MECH,N,N,N,M,NA,48015110,N,N,N,Y,1956,0,0.1641791045,0.3880597015,0.1940298507,0.2089552239,62756,139221,AB,0.9719101124,0.8988764045,1,60674.462297
3497,Y,4176,10/31/1996,1968,LA,LA,NA,N,N,N,M,NA,59028269,N,N,N,N,1968,0,0.6909090909,0.1636363636,0.0727272727,0.0727272727,44805,172725,BC,0.8554216867,0.9759036145,0.2181818182,47974.977592
3547,Y,14355,10/31/1996,1960,CO,CO,NA,N,Y,Y,M,M,59031158,N,N,N,N,1960,0,0.0869565217,0.231884058,0.1304347826,0.4347826087,95270,854839,BC,0.78,0.608,0.9,154511.74179
3766,N,895,08/09/1999,1960,GR,ED,NA,N,N,N,M,NA,48012063,N,N,N,Y,1957,0,0.5081967213,0.3770491803,0.0819672131,0.0327868852,33747,109615,AB,0.92,0.82,0.3064516129,45707.296573
3874,Y,3400,02/28/1996,1969,ME,ME,NA,N,N,N,F,NA,59028162,N,N,N,N,1965,0,0.0769230769,0.4307692308,0.1384615385,0.3230769231,133348,835949,BC,0.9583333333,0.8652849741,0.7121212121,265803.47989
3948,Y,3555,02/17/1997,1955,LA,LA,NA,Y,N,Y,M,M,59013054,N,N,N,Y,1955,0,0.1666666667,0.3333333333,0.1282051282,0.3205128205,69767,218356,BC,0.9956709957,0.9956709957,0.9113924051,78420.96652
4013,Y,5355,10/21/1992,1983,DE,DE,NA,N,Y,N,M,M,59031252,N,N,N,N,1979,0,0.2,0.26,0.18,0.26,45190,448207,BC,0.7820512821,0.4807692308,0.7142857143,60241.389426
4055,N,300,04/01/1997,1976,GR,AR,NA,N,N,N,F,NA,48004056,N,N,N,N,1976,0,0.2941176471,0.4117647059,0.1617647059,0.1323529412,44174,147183,AB,0.8775510204,0.8979591837,0.5373134328,63965.199445
4237,N,100,07/21/1993,1967,GR,AR,NA,N,N,N,M,NA,48003466,N,N,N,Y,1964,0,0.4117647059,0.4117647059,0.0882352941,0.0882352941,78036,169687,AB,0.9692307692,0.984375,1,88452.538234
4320,Y,23326,06/06/1997,1970,LA,LA,NA,N,N,N,M,NA,59030151,Y,N,N,Y,1967,0,0.2337662338,0.3246753247,0.1558441558,0.2467532468,65004,456801,BC,0.8965517241,0.8137254902,0.7012987013,90906.02436
4782,Y,1000,12/10/1992,1967,AR,AR,SOCI,N,N,Y,F,M,59030054,N,N,N,N,1967,0,0.1095890411,0.2328767123,0.1917808219,0.3561643836,163809,906976,BC,0.8291666667,0.7291666667,0.9428571429,322735.08882
4794,N,130,01/14/1998,1960,AP,NU,NA,N,N,N,F,NA,59031318,N,N,N,N,1960,0,0.1014492754,0.3333333333,0.1304347826,0.3623188406,143404,1030786,BC,0.8820754717,0.9339622642,0.8823529412,291872.33843
4897,N,255,07/24/1997,1967,ED,ED,NA,N,N,Y,F,NA,59016163,N,N,N,N,1967,0,0.5,0.3863636364,0.0454545455,0.0681818182,39339,218817,BC,0.7848101266,0.6582278481,0.3777777778,55530
4898,N,555,01/18/1995,1977,ME,ME,NA,N,N,Y,M,M,59023167,N,N,N,N,1971,0,0.1904761905,0.2063492063,0.1587301587,0.2698412698,51045,427367,BC,0.7101449275,0.5893719807,0.7258064516,81942.125674
4912,Y,2222,01/31/1997,1981,LA,LA,NA,N,N,Y,F,M,59002467,N,N,N,N,1981,0,0.4603174603,0.4126984127,0.0634920635,0.0634920635,63670,417921,BC,0.8839285714,0.9553571429,0.619047619,146316.4852
4993,N,120,01/25/1995,1971,LA,LA,NA,N,N,N,M,NA,59031305,N,N,N,N,1971,0,0.1162790698,0.1860465116,0.1627906977,0.3953488372,87364,985561,BC,0.7843137255,0.4545454545,0.8333333333,165897.28099
5116,Y,3375,02/07/1995,1958,LA,LA,NA,N,N,Y,M,M,59028119,N,N,N,N,1958,0,0.1714285714,0.2714285714,0.1857142857,0.3428571429,74644,549149,BC,0.7914691943,0.719047619,0.676056338,108489.35593
5184,N,100,10/31/1996,1977,AP,AP,CHML,N,N,Y,M,M,59014219,N,N,N,Y,1977,0,0.1971830986,0.2253521127,0.2253521127,0.3098591549,74689,348196,BC,0.9763033175,0.971563981,0.8285714286,90665.026995
5338,N,200,10/31/1996,1979,AP,AP,CIVL,N,N,Y,M,NA,59028106,N,N,N,N,1972,0,0.425,0.4,0.0875,0.0625,60019,470829,BC,0.908496732,0.9477124183,0.425,109640
5416,Y,5000,NA,1957,CO,CO,ACCT,N,N,N,M,NA,35071302,N,N,N,N,1957,0,0.2777777778,0.2777777778,0.125,0.2916666667,147929,520231,ON,0.9465240642,0.9625668449,0.7285714286,299654.32031
5458,Y,8500,07/29/1993,1968,AR,AR,HIST,N,N,Y,M,M,35071213,N,Y,N,N,1968,0,0.5853658537,0.256097561,0.0487804878,0.0731707317,90419,572839,ON,0.9060402685,0.8986486486,0.313253012,291739.76458
5460,N,157,10/23/1996,1996,ED,ED,TSED,N,N,Y,M,NA,59026270,N,N,N,N,1972,0.0224719101,0.1034482759,0.2528735632,0.1954022989,0.3563218391,75073,366490,BC,0.8888888889,0.8986486486,0.8522727273,115003.58803
5581,Y,11400,02/17/1997,1968,ME,ME,NA,N,N,Y,M,M,59017672,N,N,N,N,1968,0,0.1785714286,0.3571428571,0.1428571429,0.2142857143,83399,281041,BC,0.9390243902,0.950617284,0.8928571429,106808.9044
5583,Y,4300,02/17/1997,1969,ED,ED,NA,Y,N,Y,F,M,59017672,N,N,N,N,1969,0,0.1785714286,0.3571428571,0.1428571429,0.2142857143,83399,281041,BC,0.9390243902,0.950617284,0.8928571429,106808.9044
5646,Y,8025,08/13/1999,1965,AR,AR,NA,N,N,N,M,NA,24025057,N,N,N,N,1965,0,0.2112676056,0.3802816901,0.2394366197,0.1408450704,33234,97427,QC,0.9828571429,0.3771428571,0.3571428571,44731.514059
5837,N,525,05/29/1990,1979,GR,AR,NA,N,N,N,F,NA,59031112,N,N,N,N,1978,0,0.593220339,0.2881355932,0.0677966102,0.0508474576,43162,156422,BC,0.8105263158,0.8210526316,0.2203389831,66864.470797
6060,N,1555,06/26/1997,1969,CO,CO,NA,N,N,N,M,NA,59021511,N,N,N,N,1969,0,0.1029411765,0.3676470588,0.1911764706,0.2794117647,71900,183582,BC,0.9724770642,0.9128440367,0.7857142857,96084.210487
6111,N,2695,12/08/1992,1969,GR,AR,ADED,N,N,N,F,W,59028161,N,N,N,N,1945,0,0.1756756757,0.3378378378,0.1891891892,0.2702702703,121662,790594,BC,0.9323671498,0.9323671498,0.6891891892,230555.31336
6288,N,655,10/15/1997,1955,AR,AR,GEOL,N,N,Y,M,NA,48008414,N,N,N,N,1955,0,0.2222222222,0.4166666667,0.1388888889,0.2222222222,67339,166089,AB,0.9888888889,0.9333333333,0.9178082192,98581.661581
6364,Y,1600,10/31/1996,1965,AR,LI,NA,N,N,N,F,NA,59030061,N,N,N,N,1964,0,0.1095890411,0.2739726027,0.2054794521,0.3561643836,108911,695929,BC,0.8739130435,0.8826086957,0.875,171616.80862
6525,N,290,02/07/1994,1971,GR,SC,BOTA,N,N,N,M,NA,35096555,N,N,N,N,1968,0,0.049382716,0.1481481481,0.1728395062,0.5679012346,86542,253822,ON,0.9672131148,0.9639344262,0.9518072289,82239.942455
6559,N,50,10/31/1996,1977,AR,AR,POLI,N,N,N,M,NA,59031201,N,N,N,N,1977,0,0.1756756757,0.2297297297,0.1216216216,0.3648648649,47766,351522,BC,0.8271604938,0.4444444444,0.6438356164,76343.472805
6639,N,840,06/27/1987,1966,AG,FN,NA,N,N,N,F,NA,35069662,N,N,N,N,1966,0,0.0757575758,0.3333333333,0.2121212121,0.3181818182,304454,963744,ON,0.8925233645,0.9627906977,0.8358208955,721467.85967
6703,Y,10151,11/03/1997,1966,GR,GR,CHEM,N,N,N,M,S,59011068,N,N,N,N,1960,0,0.2597402597,0.3896103896,0.1428571429,0.2077922078,51492,101127,BC,0.9790575916,1,0.8987341772,60498.303447
6740,N,100,12/03/1993,1976,ME,ME,NA,N,N,Y,M,M,59031309,Y,N,N,N,1970,0,0.1029411765,0.1764705882,0.1470588235,0.4705882353,116716,1020379,BC,0.8,0.6163265306,0.8676470588,341750.07394
6756,N,25,NA,1973,ED,PE,NA,N,N,N,M,NA,59014114,N,N,N,N,1973,0,0.1923076923,0.2948717949,0.1923076923,0.2307692308,53605,270173,BC,0.947826087,0.8391304348,0.6708860759,60627.64221
6816,N,575,09/25/1995,1975,AP,NU,NA,N,N,N,F,NA,59031158,N,N,N,N,1975,0,0.0869565217,0.231884058,0.1304347826,0.4347826087,95270,854839,BC,0.78,0.608,0.9,154511.74179
6834,Y,12681,10/29/1997,1959,ED,ED,PHYS,N,N,Y,M,NA,59019201,N,N,N,Y,1948,0.0689655172,0.1481481481,0.4444444444,0.1111111111,0.2962962963,57679,292837,BC,0.95,0.95,0.8965517241,102642.55219
6838,Y,2100,10/31/1996,1956,ME,ME,NA,N,N,N,M,NA,59031315,N,N,N,N,1956,0,0.1232876712,0.3698630137,0.1232876712,0.301369863,117018,711015,BC,0.8634361233,0.7400881057,0.8904109589,185012.21679
6915,N,80,03/17/1997,1970,GR,AR,NA,N,N,N,M,NA,59001160,N,N,N,N,1968,0,0.2820512821,0.3461538462,0.141025641,0.1923076923,32160,181954,BC,0.7653061224,0.6785714286,0.1794871795,38588.408104
6952,N,50,12/10/1996,1988,GR,CO,MBA2,N,Y,Y,M,M,59030159,N,N,N,N,1979,0,0.1764705882,0.2745098039,0.137254902,0.3725490196,79693,699869,BC,0.8782051282,0.7820512821,0.7843137255,94989.52079
6969,N,200,06/12/1996,1977,ME,ME,NA,N,N,N,M,D,59028108,N,N,N,N,1975,0,0.141025641,0.5,0.1666666667,0.1923076923,87193,498869,BC,0.923857868,0.9242424242,0.7435897436,132643.12655
6992,Y,4790,05/10/1995,1956,LA,LA,NA,N,N,N,M,M,59031309,N,N,N,N,1955,0,0.1029411765,0.1764705882,0.1470588235,0.4705882353,116716,1020379,BC,0.8,0.6163265306,0.8676470588,341750.07394
7001,Y,1930,10/03/1997,1963,ME,ME,NA,Y,N,N,M,M,59030164,Y,N,N,N,1963,0,0.1147540984,0.2295081967,0.1147540984,0.4590163934,62292,711484,BC,0.7407407407,0.4976744186,0.7580645161,124834.45326
7093,Y,8948,12/15/1994,1966,LA,LA,NA,N,N,Y,M,NA,59002560,N,Y,N,Y,1965,0,0.1449275362,0.3333333333,0.1449275362,0.347826087,95106,475410,BC,0.8725490196,0.8137254902,0.8857142857,143567.39393
7120,N,960,07/03/1997,1954,ME,ME,NA,N,N,Y,M,NA,59004174,N,N,N,N,1954,0,0.3103448276,0.5862068966,0.1034482759,0,39774,149715,BC,1,1,0.9333333333,38280.229166
7123,N,50,07/28/1997,1969,CO,CO,NA,N,N,Y,M,M,59030204,N,N,N,N,1969,0,0.0491803279,0.1967213115,0.262295082,0.4098360656,121716,833921,BC,0.7289719626,0.5492957746,0.8032786885,393486.99865
7136,Y,14410,10/31/1996,1959,GR,AG,AGME,N,N,N,M,NA,59016251,N,N,N,N,1953,0,0.1282051282,0.2820512821,0.1923076923,0.3461538462,80437,347573,BC,0.8489795918,0.893442623,0.9113924051,83940
7177,Y,22050,12/18/1996,1960,LA,LA,NA,N,N,N,M,NA,59002501,N,N,N,N,1960,0,0.5333333333,0.4133333333,0.0533333333,0,56263,487815,BC,0.8898305085,0.8571428571,0.25,114333.9961
7201,Y,2730,10/30/1996,1978,ED,PE,NA,N,N,Y,M,M,59021504,N,Y,N,N,1978,0,0.1285714286,0.1571428571,0.2,0.4857142857,61828,133668,BC,0.9576271186,0.9618644068,0.9154929577,66638.918058
7265,Y,3745,11/09/1994,1981,CO,CO,CPSC,N,N,Y,M,M,35055167,N,N,N,N,1981,0,0.0253164557,0.2151898734,0.2278481013,0.4936708861,91600,252937,ON,0.9377289377,0.8905109489,0.7594936709,115340
7378,N,580,10/31/1996,1960,ED,ED,NA,N,N,N,F,NA,59014413,N,N,N,N,1960,0,0.56,0.36,0.0533333333,0.0266666667,33640,238545,BC,0.7457627119,0.7008547009,0.4,52476.740752
7495,Y,1000,09/09/1996,1972,GR,GR,SPAN,N,N,Y,M,NA,59030167,Y,N,N,N,1972,0,0.4615384615,0.3230769231,0.1076923077,0.0769230769,60423,614537,BC,0.7906976744,0.6279069767,0.1666666667,100360.51975
